iter	Passed	Remaining
0	0	83
1	1	71
2	2	68
3	2	63
4	3	62
5	3	60
6	4	59
7	5	58
8	5	57
9	6	56
10	6	56
11	7	55
12	8	54
13	8	53
14	9	52
15	9	52
16	10	51
17	11	50
18	11	50
19	12	49
20	13	49
21	13	48
22	14	48
23	15	47
24	15	47
25	16	46
26	17	46
27	17	45
28	18	45
29	19	44
30	19	44
31	20	43
32	21	43
33	22	43
34	23	42
35	24	42
36	24	42
37	25	41
38	26	41
39	27	40
40	28	40
41	28	39
42	29	38
43	29	38
44	30	37
45	31	37
46	32	36
47	33	35
48	33	35
49	34	34
50	35	34
51	36	33
52	36	32
53	37	32
54	38	31
55	39	30
56	40	30
57	40	29
58	41	28
59	42	28
60	42	27
61	43	26
62	44	26
63	45	25
64	46	24
65	47	24
66	47	23
67	48	22
68	49	22
69	49	21
70	50	20
71	51	20
72	52	19
73	52	18
74	53	17
75	54	17
76	55	16
77	55	15
78	56	15
79	57	14
80	58	13
81	58	12
82	59	12
83	60	11
84	61	10
85	62	10
86	62	9
87	63	8
88	64	7
89	64	7
90	65	6
91	66	5
92	67	5
93	67	4
94	68	3
95	69	2
96	70	2
97	70	1
98	71	0
99	72	0
